Industry,avg_rs_3m,avg_rs_6m,avg_daily_score,avg_weekly_score,avg_combined_score,stock_count,actionable_daily,actionable_weekly,strong_combined,rs_score,rs_rank,current_rank,prev_rank,prev_avg_combined_score,prev_rs_rank,prev_strong_combined,prev_actionable_daily,prev_actionable_weekly,rank_change,combined_score_change,strong_combined_change,actionable_daily_change,actionable_weekly_change,new_cluster
Power,24.431052631578947,17.996315789473684,29.00368421052632,42.705263157894734,35.16894736842105,19,0,7,0,21.213684210526317,95.45454545454545,1,1,32.96157894736842,90.9090909090909,0,0,5,0,2.21,0,0,2,False
Metals & Mining,16.410476190476192,25.91142857142857,30.877142857142854,31.791428571428572,31.28952380952381,21,0,2,0,21.16095238095238,90.9090909090909,2,2,30.59047619047619,95.45454545454544,0,0,2,0,0.7,0,0,0,False
Healthcare,18.394923076923078,10.830153846153847,19.03,30.451076923076922,24.169384615384615,65,0,9,0,14.612538461538463,81.81818181818183,3,4,23.43723076923077,81.81818181818183,0,0,8,1,0.73,0,0,1,False
Utilities,15.23,-13.510000000000002,9.31,41.36,23.73,2,0,0,0,0.8599999999999994,36.36363636363637,4,3,25.775,59.09090909090909,0,0,0,-1,-2.04,0,0,0,False
Capital Goods,18.62495412844037,14.589449541284404,17.142018348623854,31.104678899082568,23.425045871559632,109,0,21,0,16.607201834862387,86.36363636363636,5,5,23.41577981651376,86.36363636363636,0,0,21,0,0.01,0,0,0,False
Telecommunication,30.8325,31.644166666666667,16.836666666666666,24.84,20.438333333333333,12,0,2,0,31.238333333333333,100.0,6,7,19.175833333333333,100.0,0,0,2,1,1.26,0,0,0,False
Textiles,8.864374999999999,1.823125,11.37,29.855,19.68875,16,0,2,0,5.34375,59.09090909090909,7,6,19.54375,50.0,0,0,2,-1,0.14,0,0,0,False
"Oil, Gas & Consumable Fuels",2.898,2.1470000000000007,14.912,18.4265,16.494,20,0,1,0,2.5225000000000004,45.45454545454545,8,8,16.2965,40.909090909090914,0,0,1,0,0.2,0,0,0,False
Fast Moving Consumer Goods,7.5325,2.1718181818181814,11.853863636363638,19.599999999999998,15.339090909090908,44,0,0,0,4.85215909090909,54.54545454545454,9,11,15.142045454545457,63.63636363636363,0,0,0,2,0.2,0,0,0,False
Automobile and Auto Components,4.029148936170213,3.0331914893617022,10.75404255319149,20.735531914893617,15.245531914893617,47,0,1,0,3.531170212765957,50.0,10,12,14.670212765957446,45.45454545454545,0,0,1,2,0.58,0,0,0,False
Chemicals,10.65392857142857,5.226428571428571,10.665000000000001,20.485357142857143,15.084285714285715,56,0,2,0,7.9401785714285715,77.27272727272727,11,9,15.517678571428572,72.72727272727273,0,0,2,-2,-0.43,0,0,0,False
Services,3.1776666666666666,-3.465333333333333,7.462666666666666,21.336666666666666,13.705666666666668,30,0,0,0,-0.14383333333333326,31.818181818181817,12,13,13.467666666666666,31.818181818181817,0,0,0,1,0.24,0,0,0,False
Financial Services,5.727130434782609,5.790956521739131,11.092869565217391,15.86582608695652,13.240869565217391,115,0,3,0,5.759043478260869,68.18181818181817,13,14,12.951130434782607,54.54545454545454,0,0,3,1,0.29,0,0,0,False
Forest Materials,11.616666666666667,-0.24333333333333287,8.706666666666667,18.69,13.200000000000001,3,0,0,0,5.686666666666667,63.63636363636363,14,10,15.333333333333334,77.27272727272727,0,0,0,-4,-2.13,0,0,0,False
Construction,7.231481481481482,-2.9537037037037037,6.560370370370371,21.159629629629627,13.13037037037037,27,0,0,0,2.1388888888888893,40.909090909090914,15,15,12.428888888888888,36.36363636363637,0,0,0,0,0.7,0,0,0,False
"Media, Entertainment & Publication",-0.9990909090909088,-7.990909090909091,5.567272727272727,18.414545454545454,11.34909090909091,11,0,0,0,-4.495,18.181818181818183,16,16,11.11181818181818,18.181818181818183,0,0,0,0,0.24,0,0,0,False
Consumer Durables,0.3357142857142856,-6.966666666666667,5.316190476190476,17.829761904761906,10.947619047619048,42,0,0,0,-3.3154761904761907,22.727272727272727,17,17,10.46404761904762,22.727272727272727,0,0,0,0,0.48,0,0,0,False
Construction Materials,-1.3786666666666667,-3.464,6.666,13.178666666666667,9.596,15,0,0,0,-2.421333333333333,27.27272727272727,18,19,8.24,27.27272727272727,0,0,0,1,1.36,0,0,0,False
Information Technology,-3.962162162162162,-13.668378378378378,8.548108108108107,8.54054054054054,8.545945945945945,37,0,1,0,-8.81527027027027,4.545454545454546,19,18,8.828333333333333,9.090909090909092,0,0,1,-1,-0.28,0,0,0,False
Consumer Services,-3.4277499999999996,-10.838750000000001,3.166,13.9595,8.023,40,0,0,0,-7.13325,9.090909090909092,20,20,8.088,4.545454545454546,0,0,0,0,-0.06,0,0,0,False
Realty,-0.5994444444444444,-9.446111111111112,4.397222222222222,11.405,7.550000000000001,18,0,0,0,-5.022777777777778,13.636363636363635,21,21,7.603333333333333,13.636363636363637,0,0,0,0,-0.05,0,0,0,False
Diversified,9.002500000000001,4.4399999999999995,4.1375,7.675000000000001,5.73,4,0,0,0,6.72125,72.72727272727273,22,22,7.0175,68.18181818181817,0,0,0,0,-1.29,0,0,0,False
