ticker,Company Name,Industry,stage,daily_setup_bucket,weekly_setup_bucket,combined_bucket,daily_score,weekly_score,combined_score,industry_boost,final_daily_score,final_weekly_score,final_combined_score,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,current_rank,prev_rank,rank_change,prev_score,combined_score_change,new_daily_breakout,new_weekly_breakout,entered_stage_2,new_top_10,new_top_20
ARVIND.NS,Arvind Limited,Textiles,Stage 2,watchlist,weekly_near_pivot,watchlist,63.6,72.76,67.72,10.0,63.6,72.76,77.72,37.61,31.96,131899486.14,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",1,,,,,False,False,False,True,True
ADANIPOWER.NS,Adani Power Limited,Power,Stage 2,watchlist,weekly_breakout,watchlist,62.5,66.9,64.48,10.0,62.5,66.9,74.48,57.9,34.56,10744920139.55,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",2,,,,,False,False,False,True,True
IMFA.NS,Indian Metals & Ferro Alloys Limited,Metals & Mining,Stage 2,watchlist,weekly_breakout,watchlist,60.59,65.0,62.57,10.0,60.59,65.0,72.57,43.12,47.86,296815266.48,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",3,,,,,False,False,False,True,True
GMDCLTD.NS,Gujarat Mineral Development Corporation Limited,Metals & Mining,Stage 2,watchlist,weekly_breakout,watchlist,59.91,64.71,62.07,10.0,59.91,64.71,72.07,32.21,25.93,5164661043.48,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",4,,,,,False,False,False,True,True
INOXINDIA.NS,INOX India Ltd.,Capital Goods,Stage 2,watchlist,weekly_breakout,watchlist,58.34,65.8,61.7,10.0,58.34,65.8,71.7,45.18,38.08,466330612.21,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",5,,,,,False,False,False,True,True
SYRMA.NS,Syrma SGS Technology Limited,Capital Goods,Stage 2,watchlist,weekly_breakout,watchlist,57.2,65.74,61.04,10.0,57.2,65.74,71.04,48.96,30.49,1409874939.33,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",6,,,,,False,False,False,True,True
GPIL.NS,Godawari Power And Ispat limited,Capital Goods,Stage 2,watchlist,weekly_breakout,watchlist,58.77,63.57,60.93,10.0,58.77,63.57,70.93,23.21,23.49,946432205.38,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",7,,,,,False,False,False,True,True
BHEL.NS,Bharat Heavy Electricals Limited,Capital Goods,Stage 2,watchlist,weekly_breakout,watchlist,52.16,61.4,56.32,10.0,52.16,61.4,66.32,33.84,50.65,5417000210.6,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",8,,,,,False,False,False,True,True
KTKBANK.NS,The Karnataka Bank Limited,Financial Services,Stage 2,forming_vcp,weekly_breakout,watchlist,57.83,65.8,61.42,2.0,57.83,65.8,63.42,35.15,48.0,836016875.52,"Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",9,,,,,False,False,False,True,True
ANANDRATHI.NS,Anand Rathi Wealth Limited,Financial Services,Stage 2,watchlist,weekly_breakout,watchlist,58.53,63.33,60.69,2.0,58.53,63.33,62.69,22.14,22.16,1100866613.8,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",10,,,,,False,False,False,True,True
STAR.NS,Strides Pharma Science Limited,Healthcare,Stage 2,watchlist,weekly_breakout,watchlist,61.08,60.18,60.67,2.0,61.08,60.18,62.67,28.52,39.31,305771337.55,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",11,,,,,False,False,False,False,True
TORNTPOWER.NS,Torrent Power Limited,Power,Stage 2,watchlist,weekly_breakout,watchlist,40.35,66.51,52.12,10.0,40.35,66.51,62.12,36.75,39.31,1022220931.13,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",12,,,,,False,False,False,False,True
DYNAMATECH.NS,Dynamatic Technologies Limited,Capital Goods,Stage 2,watchlist,weekly_breakout,watchlist,40.47,65.8,51.87,10.0,40.47,65.8,61.87,39.77,53.52,273464284.52,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",13,,,,,False,False,False,False,True
SIEMENS.NS,Siemens Ltd.,Capital Goods,Stage 2,watchlist,weekly_breakout,watchlist,41.01,64.38,51.53,10.0,41.01,64.38,61.53,36.4,29.42,2048037513.31,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",14,,,,,False,False,False,False,True
STLTECH.NS,Sterlite Technologies Limited,Telecommunication,Stage 2,watchlist,weekly_breakout,watchlist,36.86,66.9,50.38,10.0,36.86,66.9,60.38,206.5,144.29,1679308777.1,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",15,,,,,False,False,False,False,True
SARDAEN.NS,Sarda Energy & Minerals Limited,Metals & Mining,Stage 2,watchlist,weekly_breakout,watchlist,40.34,62.04,50.11,10.0,40.34,62.04,60.11,25.84,16.61,441781786.82,"Stage 2, weekly_vcp_ok, weekly_strong",16,,,,,False,False,False,False,True
TDPOWERSYS.NS,TD Power Systems Limited,Capital Goods,Stage 2,watchlist,weekly_breakout,watchlist,37.01,65.8,49.97,10.0,37.01,65.8,59.97,67.97,68.5,1263299667.05,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",17,,,,,False,False,False,False,True
CGPOWER.NS,CG Power and Industrial Solutions Limited,Capital Goods,Stage 2,watchlist,weekly_breakout,watchlist,36.92,64.22,49.2,10.0,36.92,64.22,59.2,47.83,16.34,2435588589.49,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",18,,,,,False,False,False,False,True
AETHER.NS,Aether Industries Limited,Chemicals,Stage 2,watchlist,weekly_near_pivot,watchlist,40.72,73.8,55.61,2.0,40.72,73.8,57.61,26.08,63.99,524645058.52,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",19,,,,,False,False,False,False,True
APARINDS.NS,Apar Industries Limited,Capital Goods,Stage 2,watchlist,weekly_watchlist,watchlist,59.89,31.6,47.16,10.0,59.89,31.6,57.16,68.63,41.75,1528889377.47,"Stage 2, trend_template_ok, weekly_volume_dryup",20,,,,,False,False,False,False,True
NLCINDIA.NS,NLC India Ltd.,Power,Stage 2,watchlist,weekly_breakout,watchlist,34.61,62.04,46.95,10.0,34.61,62.04,56.95,22.99,19.41,1470509830.22,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",21,,,,,False,False,False,False,False
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,"Oil, Gas & Consumable Fuels",Stage 2,forming_vcp,weekly_watchlist,watchlist,62.14,37.6,51.1,5.0,62.14,37.6,56.1,32.66,54.47,2500476258.31,"Stage 2, trend_template_ok, daily_vcp_ok, weekly_volume_dryup",22,,,,,False,False,False,False,False
CCL.NS,CCL Products (India) Limited,Fast Moving Consumer Goods,Stage 2,watchlist,weekly_watchlist,watchlist,62.22,34.93,49.94,5.0,62.22,34.93,54.94,16.77,36.55,339229994.89,"Stage 2, trend_template_ok, volume_dryup, weekly_volume_dryup",23,,,,,False,False,False,False,False
NATIONALUM.NS,National Aluminium Company Limited,Metals & Mining,Stage 2,watchlist,weekly_watchlist,watchlist,57.75,24.8,42.92,10.0,57.75,24.8,52.92,26.16,105.86,5283925064.98,"Stage 2, trend_template_ok, volume_dryup, weekly_volume_dryup",24,,,,,False,False,False,False,False
ASTERDM.NS,Aster DM Healthcare Limited,Healthcare,Stage 2,watchlist,weekly_near_pivot,watchlist,46.72,55.09,50.49,2.0,46.72,55.09,52.49,26.05,3.83,350934288.83,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup",25,,,,,False,False,False,False,False
SAILIFE.NS,Sai Life Sciences Ltd.,Healthcare,Stage 2,watchlist,weekly_watchlist,watchlist,66.34,30.07,50.02,2.0,66.34,30.07,52.02,27.76,24.99,543718583.09,"Stage 2, trend_template_ok, volume_dryup, weekly_volume_dryup",26,,,,,False,False,False,False,False
GRWRHITECH.NS,Garware Hi-Tech Films Limited,Capital Goods,Stage 2,watchlist,weekly_watchlist,watchlist,45.21,37.6,41.79,10.0,45.21,37.6,51.79,51.07,35.66,267213075.03,"Stage 2, weekly_volume_dryup",27,,,,,False,False,False,False,False
SUNTV.NS,Sun TV Network Limited,"Media, Entertainment & Publication",Stage 2,watchlist,weekly_near_pivot,watchlist,36.38,68.89,51.01,0.0,36.38,68.89,51.01,21.69,17.19,323077873.13,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",28,,,,,False,False,False,False,False
VEDL.NS,Vedanta Limited,Metals & Mining,Stage 2,watchlist,weekly_watchlist,watchlist,49.08,30.36,40.66,10.0,49.08,30.36,50.66,16.35,63.28,12094217268.9,"Stage 2, trend_template_ok",29,,,,,False,False,False,False,False
PRIVISCL.NS,Privi Speciality Chemicals Limited,Chemicals,Stage 2,watchlist,weekly_breakout,watchlist,36.55,63.22,48.55,2.0,36.55,63.22,50.55,29.78,24.41,359680467.39,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",30,,,,,False,False,False,False,False
HINDALCO.NS,Hindalco Industries Limited,Metals & Mining,Stage 2,watchlist,weekly_breakout,watchlist,23.64,59.06,39.58,10.0,23.64,59.06,49.58,16.31,40.27,6659286349.41,"Stage 2, weekly_vcp_ok, weekly_strong",31,,,,,False,False,False,False,False
IPCALAB.NS,IPCA Laboratories Limited,Healthcare,Stage 2,watchlist,weekly_near_pivot,watchlist,25.92,71.21,46.3,2.0,25.92,71.21,48.3,8.14,23.97,365518756.25,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",32,,,,,False,False,False,False,False
VTL.NS,Vardhman Textiles Limited,Textiles,Stage 2,watchlist,weekly_watchlist,watchlist,39.5,34.0,37.03,10.0,39.5,34.0,47.03,45.39,46.27,385505780.87,"Stage 2, trend_template_ok, weekly_volume_dryup",33,,,,,False,False,False,False,False
LUXIND.NS,Lux Industries Limited,Textiles,Stage 3,watchlist,weekly_watchlist,watchlist,28.11,47.8,36.97,10.0,28.11,47.8,46.97,95.17,41.9,814601171.02,"Stage 3, weekly_vcp_ok, weekly_strong, distribution_risk",34,,,,,False,False,False,False,False
ADANIENSOL.NS,Adani Energy Solutions Limited,Power,Stage 3,watchlist,weekly_watchlist,watchlist,26.38,47.8,36.02,10.0,26.38,47.8,46.02,55.37,49.12,3718442140.47,"Stage 3, weekly_vcp_ok, weekly_strong, distribution_risk",35,,,,,False,False,False,False,False
BEL.NS,Bharat Electronics Limited,Capital Goods,Stage 2,watchlist,weekly_watchlist,watchlist,38.62,32.6,35.91,10.0,38.62,32.6,45.91,14.98,14.98,6748929718.19,"Stage 2, trend_template_ok, volume_dryup, weekly_volume_dryup",36,,,,,False,False,False,False,False
GRAPHITE.NS,Graphite India Limited,Capital Goods,Stage 2,watchlist,weekly_watchlist,watchlist,39.94,30.76,35.81,10.0,39.94,30.76,45.81,20.57,39.08,1896415687.5,"Stage 2, trend_template_ok",37,,,,,False,False,False,False,False
USHAMART.NS,Usha Martin Limited,Capital Goods,Stage 3,watchlist,weekly_watchlist,watchlist,23.09,49.89,35.15,10.0,23.09,49.89,45.15,7.92,1.94,131342351.8,"Stage 3, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, distribution_risk",38,,,,,False,False,False,False,False
THERMAX.NS,Thermax Limited,Capital Goods,Stage 3,watchlist,weekly_watchlist,watchlist,25.0,47.54,35.14,10.0,25.0,47.54,45.14,43.71,33.7,949169741.43,"Stage 3, weekly_vcp_ok, weekly_strong, distribution_risk",39,,,,,False,False,False,False,False
HFCL.NS,HFCL Limited,Telecommunication,Stage 3,watchlist,weekly_watchlist,watchlist,24.15,47.8,34.79,10.0,24.15,47.8,44.79,53.49,35.06,2987019292.26,"Stage 3, weekly_vcp_ok, weekly_strong, distribution_risk",40,,,,,False,False,False,False,False
ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power,Stage 3,watchlist,weekly_watchlist,watchlist,24.1,47.67,34.71,10.0,24.1,47.67,44.71,50.4,17.28,729180897.25,"Stage 3, weekly_vcp_ok, weekly_strong, distribution_risk",41,,,,,False,False,False,False,False
JINDALSTEL.NS,Jindal Steel & Power Limited,Metals & Mining,Stage 2,watchlist,weekly_watchlist,watchlist,37.19,31.44,34.6,10.0,37.19,31.44,44.6,24.36,30.02,2040338126.73,"Stage 2, trend_template_ok",42,,,,,False,False,False,False,False
