ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,overall_setup_label,final_combined_score,change_1d_pct,change_1w_pct,change_1m_pct,change_ytd_pct,last_close,stage_variant,stage_classification,stage_display
SAPPHIRE.NS,Sapphire Foods India Limited,Consumer Services,Unknown,False,Cash,Stage 1,watchlist,37.74,12.26,21.13,23.29,-14.65,224.22,Stage 1,Stage 1,Stage 1
VARROC.NS,Varroc Engineering Limited,Automobile and Auto Components,Unknown,False,Cash,Stage 2,watchlist,60.92,10.17,19.68,23.27,33.84,811.2,Stage 2,Stage 2,Stage 2
TATATECH.NS,Tata Technologies Ltd.,Information Technology,Unknown,False,Cash,Stage 2,watchlist,34.07,8.89,16.74,22.65,37.56,872.8,Stage 2,Stage 2,Stage 2
DEVYANI.NS,Devyani International Limited,Consumer Services,Unknown,False,Cash,Not Sure,watchlist,44.92,8.78,18.0,20.5,-8.61,134.73,Not Sure,Not Sure,Not Sure
MOTHERSON.NS,Samvardhana Motherson International Limited,Automobile and Auto Components,Unknown,True,F&O,Stage 2,watchlist,54.27,8.71,11.77,18.2,38.2,168.5,Stage 2,Stage 2,Stage 2
TECHNOE.NS,Techno Electric & Engineering Company Limited,Construction,Unknown,False,Cash,Stage 4,watchlist,4.89,7.46,10.24,1.99,0.17,1066.25,Stage 4,Stage 4,Stage 4
BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,Fast Moving Consumer Goods,Unknown,False,Cash,Stage 1,watchlist,36.69,6.61,8.69,31.17,-8.98,224.4,Stage 1,Stage 1,Stage 1
ORIENTELEC.NS,Orient Electric Limited,Consumer Durables,Unknown,False,Cash,Not Sure,watchlist,55.63,6.14,9.34,12.63,9.43,189.18,Not Sure,Not Sure,Not Sure
NEULANDLAB.NS,Neuland Laboratories Limited,Healthcare,Unknown,False,Cash,Stage 2,watchlist,60.37,6.09,19.02,21.22,52.04,22855.0,Stage 2,Stage 2,Stage 2
AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,Unknown,False,Cash,Stage 2,watchlist,82.11,5.27,5.58,7.74,57.15,697.45,Stage 2,Stage 2,Stage 2
RBA.NS,Restaurant Brands Asia Limited,Consumer Services,Unknown,False,Cash,Stage 2,watchlist,38.94,5.17,41.65,31.12,49.39,94.92,Stage 2,Stage 2,Stage 2
M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,Financial Services,Unknown,False,Cash,Stage 2,watchlist,60.27,5.05,4.05,25.93,3.34,408.45,Stage 2,Stage 2,Stage 2
DBREALTY.NS,D B Realty Limited,Realty,Unknown,False,Cash,Stage 4,watchlist,28.84,4.99,3.06,6.93,-0.32,117.32,Stage 4,Stage 4,Stage 4
DISHTV.NS,Dish TV India Limited,"Media, Entertainment & Publication",Unknown,False,Cash,Stage 4,watchlist,26.12,4.71,2.85,-1.03,-27.75,2.89,Stage 4,Stage 4,Stage 4
PTCIL.NS,PTC Industries Limited,Capital Goods,Unknown,False,Cash,Stage 2,watchlist,56.52,4.69,7.2,12.22,3.95,19076.0,Stage 2,Stage 2,Stage 2
NAVNETEDUL.NS,Navneet Education Limited,"Media, Entertainment & Publication",Unknown,False,Cash,Stage 2 Failed,watchlist,27.72,4.64,-2.33,-9.19,-4.74,133.87,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
GALAXYSURF.NS,Galaxy Surfactants Limited,Chemicals,Unknown,False,Cash,Stage 1,watchlist,43.91,4.36,7.19,4.96,2.75,2066.7,Stage 1,Stage 1,Stage 1
AUROPHARMA.NS,Aurobindo Pharma Limited,Healthcare,Unknown,True,F&O,Stage 2,watchlist,66.6,4.35,5.18,6.46,38.98,1658.0,Stage 2,Stage 2,Stage 2
GRANULES.NS,Granules India Limited,Healthcare,Unknown,False,Cash,Stage 2,watchlist,59.19,4.2,4.78,1.88,41.42,873.85,Stage 2,Stage 2,Stage 2
RACE.NS,Race Eco Chain Limited,Utilities,Unknown,False,Cash,Stage 4,watchlist,36.34,4.2,-1.49,-2.26,-23.6,108.76,Stage 4,Stage 4,Stage 4
TATAINVEST.NS,Tata Investment Corporation Ltd.,Financial Services,Unknown,False,Cash,Not Sure,watchlist,47.98,3.98,2.09,1.28,0.08,693.65,Not Sure,Not Sure,Not Sure
FORTIS.NS,Fortis Healthcare Limited,Healthcare,Unknown,True,F&O,Stage 2 Failed,watchlist,34.67,3.82,0.66,1.32,6.18,955.15,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
