ticker,Company Name,Industry,stage,daily_setup_bucket,weekly_setup_bucket,combined_bucket,daily_score,weekly_score,combined_score,industry_boost,final_daily_score,final_weekly_score,final_combined_score,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,current_rank,prev_rank,prev_stage,prev_daily_setup_bucket,prev_weekly_setup_bucket,prev_score,rank_change,combined_score_change,new_daily_breakout,new_weekly_breakout,entered_stage_2,new_top_10,new_top_20
NMDC.NS,NMDC Limited,Metals & Mining,Stage 2,watchlist,weekly_near_pivot,watchlist,51.27,70.81,60.06,10.0,51.27,70.81,70.06,19.91,38.18,2020314014.02,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",10,22,Stage 2,watchlist,weekly_near_pivot,64.35,12,5.710000000000008,False,False,False,True,True
ELGIEQUIP.NS,Elgi Equipments Limited,Capital Goods,Stage 2,watchlist,weekly_breakout,watchlist,69.29,69.96,69.59,10.0,69.29,69.96,79.59,15.24,26.31,399749112.4,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",1,17,Stage 2,watchlist,weekly_near_pivot,65.45,16,14.14,False,True,False,True,False
COALINDIA.NS,Coal India Limited,"Oil, Gas & Consumable Fuels",Stage 2,watchlist,weekly_near_pivot,watchlist,74.46,69.16,72.08,2.0,74.46,69.16,74.08,17.05,36.59,9783303254.73,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",3,12,Stage 2,watchlist,weekly_near_pivot,68.19,9,5.890000000000001,False,False,False,True,False
ARVIND.NS,Arvind Limited,Textiles,Stage 2,watchlist,weekly_breakout,watchlist,65.46,65.8,65.61,5.0,65.46,65.8,70.61,43.69,44.54,743922622.22,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",8,13,Stage 2,watchlist,weekly_breakout,67.67,5,2.9399999999999977,False,False,False,True,False
AIAENG.NS,AIA Engineering Limited,Capital Goods,Stage 2,watchlist,weekly_breakout,watchlist,56.9,63.42,59.83,10.0,56.9,63.42,69.83,25.21,31.03,470873095.19,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",11,65,Stage 2,watchlist,weekly_watchlist,53.39,54,16.439999999999998,False,True,False,False,True
WELSPUNLIV.NS,Welspun Living Ltd.,Textiles,Stage 2,watchlist,weekly_near_pivot,watchlist,53.66,69.88,60.96,5.0,53.66,69.88,65.96,22.23,18.61,372992413.61,"Stage 2, weekly_vcp_ok, weekly_strong",12,168,Stage 3,watchlist,weekly_watchlist,34.71,156,31.249999999999993,False,False,True,False,True
ADANIPOWER.NS,Adani Power Limited,Power,Stage 2,watchlist,weekly_near_pivot,watchlist,36.08,74.9,53.55,10.0,36.08,74.9,63.55,72.39,66.75,10237700268.11,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",18,29,Stage 2,watchlist,weekly_breakout,60.56,11,2.989999999999995,False,False,False,False,True
SYRMA.NS,Syrma SGS Technology Limited,Capital Goods,Stage 2,watchlist,weekly_near_pivot,watchlist,38.55,73.79,54.41,10.0,38.55,73.79,64.41,40.82,39.09,1994893494.79,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",16,26,Stage 2,watchlist,weekly_breakout,61.57,10,2.8399999999999963,False,False,False,False,True
STLTECH.NS,Sterlite Technologies Limited,Telecommunication,Stage 2,watchlist,weekly_breakout,watchlist,39.88,66.9,52.04,10.0,39.88,66.9,62.04,250.17,438.37,1397361833.13,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",19,25,Stage 2,watchlist,weekly_breakout,62.04,6,0.0,False,False,False,False,True
ATGL.NS,Adani Total Gas Limited,"Oil, Gas & Consumable Fuels",Stage 2,watchlist,weekly_breakout,watchlist,26.88,65.8,44.39,2.0,26.88,65.8,46.39,50.21,31.54,7285591303.75,"Stage 2, weekly_vcp_ok, weekly_strong",78,252,Stage 3,watchlist,weekly_watchlist,27.49,174,18.900000000000002,False,True,True,False,False
BALAMINES.NS,Balaji Amines Limited,Chemicals,Stage 2,watchlist,weekly_breakout,watchlist,21.88,66.9,42.14,5.0,21.88,66.9,47.14,68.95,60.84,881081706.65,"Stage 2, weekly_vcp_ok, weekly_strong",76,226,Stage 3,watchlist,weekly_watchlist,29.14,150,18.0,False,True,True,False,False
SENCO.NS,Senco Gold Limited,Consumer Durables,Stage 2,watchlist,weekly_forming,watchlist,17.72,61.3,37.33,0.0,17.72,61.3,37.33,15.45,19.53,490132011.81,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",139,622,Stage 3,watchlist,weekly_watchlist,7.09,483,30.24,False,False,True,False,False
REDINGTON.NS,Redington Limited,Services,Stage 3,watchlist,weekly_watchlist,watchlist,17.2,39.0,27.01,2.0,17.2,39.0,29.01,4.19,-8.95,1107955082.26,"Stage 3, weekly_vcp_ok, weekly_strong, distribution_risk",230,607,Stage 4,watchlist,weekly_watchlist,7.83,377,21.18,False,False,False,False,False
WIPRO.NS,Wipro Limited,Information Technology,Stage 3,watchlist,weekly_watchlist,watchlist,0.0,48.35,21.76,0.0,0.0,48.35,21.76,10.68,-5.23,5270338047.25,"Stage 3, weekly_vcp_ok, weekly_strong, distribution_risk",325,690,Stage 3,watchlist,weekly_watchlist,3.84,365,17.92,False,False,False,False,False
GODREJIND.NS,Godrej Industries Limited,Diversified,Stage 2,watchlist,weekly_watchlist,watchlist,15.95,22.02,18.68,2.0,15.95,22.02,20.68,14.01,14.22,828125979.87,"Stage 2, volume_dryup",341,688,Stage 3,watchlist,weekly_watchlist,3.97,347,16.71,False,False,True,False,False
ANURAS.NS,Anupam Rasayan India Limited,Chemicals,Stage 2,watchlist,weekly_watchlist,watchlist,52.25,26.71,40.76,5.0,52.25,26.71,45.76,12.71,18.35,575478843.39,"Stage 2, trend_template_ok",81,421,Stage 3,watchlist,weekly_watchlist,16.55,340,29.209999999999997,False,False,True,False,False
OIL.NS,Oil India Limited,"Oil, Gas & Consumable Fuels",Stage 2,watchlist,weekly_watchlist,watchlist,19.37,26.54,22.6,2.0,19.37,26.54,24.6,10.0,27.41,2910752572.65,"Stage 2, volume_dryup",288,608,Stage 3,watchlist,weekly_watchlist,7.83,320,16.770000000000003,False,False,True,False,False
LTM.NS,LTIMindtree Ltd.,Information Technology,Stage 4,watchlist,weekly_watchlist,watchlist,0.0,35.8,16.11,0.0,0.0,35.8,16.11,2.44,-19.5,1810934895.9,"Stage 4, weekly_vcp_ok, weekly_strong, downtrend",416,728,Stage 4,watchlist,weekly_watchlist,1.8,312,14.309999999999999,False,False,False,False,False
TATAELXSI.NS,Tata Elxsi Limited,Information Technology,Stage 3,watchlist,weekly_watchlist,watchlist,0.0,39.8,17.91,0.0,0.0,39.8,17.91,3.49,-7.28,921797297.19,"Stage 3, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, distribution_risk",391,698,Stage 3,watchlist,weekly_watchlist,3.6,307,14.31,False,False,False,False,False
TECHM.NS,Tech Mahindra Limited,Information Technology,Stage 3,watchlist,weekly_watchlist,watchlist,22.04,51.08,35.11,0.0,22.04,51.08,35.11,21.35,11.43,3509004442.16,"Stage 3, weekly_vcp_ok, weekly_strong, distribution_risk",160,459,Stage 3,watchlist,weekly_watchlist,14.37,299,20.740000000000002,False,False,False,False,False
NYKAA.NS,FSN E-Commerce Ventures Limited,Consumer Services,Stage 2,watchlist,weekly_watchlist,watchlist,54.81,30.23,43.75,0.0,54.81,30.23,43.75,7.72,10.63,1650306136.33,"Stage 2, trend_template_ok",92,389,Stage 3,watchlist,weekly_watchlist,18.16,297,25.59,False,False,True,False,False
LATENTVIEW.NS,Latent View Analytics Limited,Information Technology,Stage 3,watchlist,weekly_watchlist,watchlist,16.2,47.8,30.42,0.0,16.2,47.8,30.42,2.86,-24.96,482288427.51,"Stage 3, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, distribution_risk",207,495,Stage 3,watchlist,weekly_watchlist,12.79,288,17.630000000000003,False,False,False,False,False
IDEA.NS,Vodafone Idea Limited,Telecommunication,Stage 2,watchlist,weekly_watchlist,watchlist,49.4,36.4,43.55,10.0,49.4,36.4,53.55,36.6,47.91,8094519151.35,"Stage 2, trend_template_ok",54,340,Stage 3,watchlist,weekly_watchlist,21.27,286,32.28,False,False,True,False,False
INFY.NS,Infosys Limited,Information Technology,Stage 4,watchlist,weekly_watchlist,watchlist,9.74,35.8,21.47,0.0,9.74,35.8,21.47,1.31,-13.3,16860733283.78,"Stage 4, weekly_vcp_ok, weekly_strong, downtrend",329,615,Stage 4,watchlist,weekly_watchlist,7.26,286,14.209999999999999,False,False,False,False,False
CHALET.NS,Chalet Hotels Limited,Consumer Services,Stage 3,watchlist,weekly_watchlist,watchlist,15.1,47.91,29.86,0.0,15.1,47.91,29.86,2.15,-1.07,110722442.74,"Stage 3, weekly_vcp_ok, volume_dryup, weekly_strong, distribution_risk",217,500,Stage 3,watchlist,weekly_watchlist,12.33,283,17.53,False,False,False,False,False
KOLTEPATIL.NS,Kolte - Patil Developers Limited,Realty,Stage 3,watchlist,weekly_watchlist,watchlist,7.78,41.0,22.73,0.0,7.78,41.0,22.73,7.49,4.55,19916776.72,"Stage 3, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, distribution_risk",311,594,Stage 3,watchlist,weekly_watchlist,8.48,283,14.25,False,False,False,False,False
CUB.NS,City Union Bank Limited,Financial Services,Stage 3,watchlist,weekly_watchlist,watchlist,14.45,39.8,25.86,0.0,14.45,39.8,25.86,-4.33,1.12,510985097.08,"Stage 3, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, distribution_risk",271,552,Stage 3,watchlist,weekly_watchlist,10.49,281,15.37,False,False,False,False,False
HCLTECH.NS,HCL Technologies Limited,Information Technology,Stage 4,watchlist,weekly_watchlist,watchlist,12.12,35.8,22.78,0.0,12.12,35.8,22.78,-3.29,-14.76,3938713305.77,"Stage 4, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, downtrend",310,590,Stage 4,watchlist,weekly_watchlist,8.67,280,14.110000000000001,False,False,False,False,False
PERSISTENT.NS,Persistent Systems Limited,Information Technology,Stage 3,watchlist,weekly_watchlist,watchlist,16.99,49.47,31.61,0.0,16.99,49.47,31.61,22.21,-5.56,3001106480.67,"Stage 3, weekly_vcp_ok, weekly_volume_dryup, weekly_strong, distribution_risk",197,466,Stage 3,watchlist,weekly_watchlist,14.01,269,17.6,False,False,False,False,False
CSBBANK.NS,CSB Bank Limited,Financial Services,Stage 4,watchlist,weekly_watchlist,watchlist,9.2,35.8,21.17,0.0,9.2,35.8,21.17,-0.32,-5.37,288368744.61,"Stage 4, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, downtrend",333,600,Stage 4,watchlist,weekly_watchlist,8.25,267,12.920000000000002,False,False,False,False,False
LT.NS,Larsen & Toubro Limited,Construction,Stage 1,watchlist,weekly_watchlist,watchlist,29.62,42.17,35.27,0.0,29.62,42.17,35.27,2.51,9.16,9920431350.39,"Stage 1, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, stage1_needs_more_base",157,423,Stage 3,watchlist,weekly_watchlist,16.5,266,18.770000000000003,False,False,False,False,False
AEGISLOG.NS,Aegis Logistics Ltd.,"Oil, Gas & Consumable Fuels",Stage 3,watchlist,weekly_watchlist,watchlist,22.61,49.54,34.73,2.0,22.61,49.54,36.73,14.47,10.93,644563834.69,"Stage 3, weekly_vcp_ok, weekly_volume_dryup, weekly_strong, distribution_risk",143,404,Stage 3,watchlist,weekly_watchlist,17.32,261,19.409999999999997,False,False,False,False,False
TCS.NS,Tata Consultancy Services Limited,Information Technology,Stage 4,watchlist,weekly_watchlist,watchlist,11.17,35.8,22.25,0.0,11.17,35.8,22.25,-4.02,-14.49,10622574378.77,"Stage 4, weekly_vcp_ok, weekly_strong, downtrend",319,579,Stage 4,watchlist,weekly_watchlist,9.06,260,13.19,False,False,False,False,False
ZEEL.NS,Zee Entertainment Enterprises Limited,"Media, Entertainment & Publication",Stage 3,watchlist,weekly_watchlist,watchlist,19.6,11.72,16.05,0.0,19.6,11.72,16.05,17.63,7.58,2230358641.95,"Stage 3, distribution_risk",420,667,Stage 3,watchlist,weekly_watchlist,5.03,247,11.02,False,False,False,False,False
KDDL.NS,KDDL Limited,Consumer Durables,Stage 3,watchlist,weekly_watchlist,watchlist,21.43,6.63,14.77,0.0,21.43,6.63,14.77,23.02,19.25,237835419.15,"Stage 3, distribution_risk",445,687,Stage 3,watchlist,weekly_watchlist,3.97,242,10.799999999999999,False,False,False,False,False
LICI.NS,Life Insurance Corporation Of India,Financial Services,Stage 3,watchlist,weekly_watchlist,watchlist,10.54,47.89,27.35,0.0,10.54,47.89,27.35,1.01,-0.13,2308186583.67,"Stage 3, weekly_vcp_ok, weekly_strong, distribution_risk",248,477,Stage 3,watchlist,weekly_watchlist,13.57,229,13.780000000000001,False,False,False,False,False
VMM.NS,Vishal Mega Mart Ltd.,Consumer Services,Stage 3,watchlist,weekly_watchlist,watchlist,15.08,39.21,25.94,0.0,15.08,39.21,25.94,4.39,-2.3,1196418437.81,"Stage 3, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, distribution_risk",269,498,Stage 3,watchlist,weekly_watchlist,12.45,229,13.490000000000002,False,False,False,False,False
TRIDENT.NS,Trident Limited,Textiles,Stage 3,watchlist,weekly_watchlist,watchlist,18.36,1.42,10.74,5.0,18.36,1.42,15.74,4.53,-2.34,150985101.37,"Stage 3, volume_dryup, weekly_volume_dryup, distribution_risk",429,657,Stage 3,watchlist,weekly_watchlist,5.59,228,10.15,False,False,False,False,False
SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services,Stage 3,watchlist,weekly_watchlist,watchlist,15.14,39.99,26.32,0.0,15.14,39.99,26.32,-7.33,17.22,5826445297.57,"Stage 3, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, distribution_risk",262,484,Stage 3,watchlist,weekly_watchlist,13.27,222,13.05,False,False,False,False,False
TTML.NS,Tata Teleservices (Maharashtra) Limited,Telecommunication,Stage 3,watchlist,weekly_watchlist,watchlist,16.11,40.09,26.9,10.0,16.11,40.09,36.9,9.34,-6.46,95843676.06,"Stage 3, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, distribution_risk",142,360,Stage 3,watchlist,weekly_watchlist,20.13,218,16.77,False,False,False,False,False
