ticker,Company Name,Industry,stage,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,weekly_setup_bucket,weekly_score,final_weekly_score,weekly_pivot,weekly_breakout_distance_pct,weekly_contraction_depths_pct,weekly_contraction_durations,weekly_contraction_score,weekly_base_duration_weeks,weekly_vcp_quality
ADANIGREEN.NS,Adani Green Energy Limited,Power,Stage 2,70.49,50.11,5133326944.38,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_near_pivot,73.8,78.8,1544.8,-4.03,"[27.74, 21.43]","[5, 5]",0.9,14.0,strong
THERMAX.NS,Thermax Limited,Capital Goods,Stage 2,44.14,76.05,1531191903.31,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_near_pivot,73.8,78.8,5083.88,-7.26,"[18.2, 11.87]","[6, 5]",0.9,15.0,strong
APOLLO.NS,Apollo Micro Systems Limited,Capital Goods,Stage 2,122.94,92.11,14226057536.46,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,73.8,78.8,447.68,-2.73,"[38.07, 35.89]","[12, 13]",0.9,28.0,strong
TITAGARH.NS,TITAGARH RAIL SYSTEMS LIMITED,Capital Goods,Stage 2,41.93,22.5,1076298325.53,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,72.24,77.24,871.22,2.67,"[38.51, 17.07]","[13, 2]",0.9,20.0,strong
TIIL.NS,Technocraft Industries (India) Limited,Capital Goods,Stage 2,28.42,23.98,30497187.18,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_near_pivot,72.14,77.14,2679.6,-4.65,"[36.43, 28.66, 27.32]","[9, 10, 5]",0.95,33.0,strong
SKIPPER.NS,Skipper Limited,Capital Goods,Stage 2,59.38,35.38,655016472.06,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,71.8,76.8,583.92,-5.09,"[29.26, 20.23]","[4, 4]",0.9,10.0,strong
ELGIEQUIP.NS,Elgi Equipments Limited,Capital Goods,Stage 2,27.79,30.84,502338411.47,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",weekly_near_pivot,71.66,76.66,634.96,-5.3,"[23.61, 17.65]","[9, 4]",0.9,18.0,strong
USHAMART.NS,Usha Martin Limited,Capital Goods,Stage 2,25.15,20.89,372952214.6,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,71.5,76.5,490.86,1.7,"[17.42, 16.24, 14.27]","[2, 4, 6]",0.95,19.0,strong
CUMMINSIND.NS,Cummins India Limited,Capital Goods,Stage 2,24.19,32.58,2961753447.82,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_near_pivot,71.48,76.48,6110.68,-6.34,"[15.86, 11.89]","[7, 4]",0.9,15.0,strong
SPARC.NS,Sun Pharma Advanced Research Company Limited,Healthcare,Stage 2,108.33,81.82,2313713728.07,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_near_pivot,73.8,76.3,249.19,-4.32,"[32.08, 27.17]","[8, 7]",0.9,16.0,strong
JINDWORLD.NS,Jindal Worldwide Limited,Textiles,Stage 2,46.22,7.93,185011193.89,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,71.21,76.21,31.86,-4.98,"[41.88, 43.87]","[15, 8]",0.9,25.0,strong
INGERRAND.NS,Ingersoll Rand (India) Limited,Capital Goods,Stage 2,21.11,31.76,138388783.19,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,71.09,76.09,4613.06,-3.83,"[21.5, 16.82]","[8, 4]",0.9,17.0,strong
OLAELEC.NS,Ola Electric Mobility Ltd.,Automobile and Auto Components,Stage 2,76.66,24.98,8198850147.28,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,74.9,75.9,45.95,-6.27,"[56.83, 51.49, 20.12]","[15, 10, 3]",0.95,35.0,strong
BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited,Textiles,Stage 2,29.7,8.87,135661339.57,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,69.66,74.66,139.73,-4.78,"[36.05, 27.96]","[13, 8]",0.9,29.0,strong
HONAUT.NS,Honeywell Automation India Limited,Capital Goods,Stage 2,21.35,15.09,748008003.75,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,69.44,74.44,36613.96,0.02,"[24.32, 15.41]","[8, 3]",0.9,14.0,strong
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited,Chemicals,Stage 2,18.12,20.63,575219471.19,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,71.87,74.37,487.85,0.44,"[28.6, 14.68, 14.77, 10.93]","[14, 4, 5, 5]",1.0,36.0,strong
GABRIEL.NS,Gabriel India Limited,Automobile and Auto Components,Stage 2,36.29,25.05,439358311.37,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,73.03,74.03,1154.0,-1.53,"[34.88, 25.65, 25.23]","[9, 5, 7]",0.95,25.0,strong
PDSL.NS,PDS Limited,Textiles,Stage 2,24.03,2.75,67845641.2,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,68.48,73.48,329.58,1.84,"[36.07, 17.93]","[7, 3]",0.9,12.0,strong
ASTERDM.NS,Aster DM Healthcare Limited,Healthcare,Stage 2,20.17,33.89,578353568.31,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",weekly_breakout,70.41,72.91,776.55,0.45,"[17.69, 17.31]","[4, 4]",0.9,11.0,strong
KIMS.NS,Krishna Institute of Medical Sciences Limited,Healthcare,Stage 2,20.0,25.12,451806399.59,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,70.31,72.81,758.83,2.61,"[22.48, 19.37]","[13, 5]",0.9,22.0,strong
YATHARTH.NS,Yatharth Hospital & Trauma Care Services Limited,Healthcare,Stage 2,26.96,25.82,329058619.79,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_near_pivot,70.28,72.78,890.43,-6.99,"[23.54, 15.9]","[3, 4]",0.9,11.0,strong
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare,Stage 2,21.93,22.12,1041181751.4,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,70.21,72.71,1722.91,-4.7,"[18.7, 13.66]","[9, 6]",0.9,18.0,strong
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,"Oil, Gas & Consumable Fuels",Stage 2,20.15,36.21,1302924172.47,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,71.44,72.44,1161.73,1.87,"[30.6, 10.38]","[8, 8]",0.9,26.0,strong
PRIVISCL.NS,Privi Speciality Chemicals Limited,Chemicals,Stage 2,21.8,19.32,283878436.07,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",weekly_near_pivot,69.91,72.41,3597.18,-3.99,"[24.03, 9.72]","[4, 3]",0.9,12.0,strong
ADANIPOWER.NS,Adani Power Limited,Power,Stage 2,43.98,61.65,8840646947.18,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_forming,66.9,71.9,254.64,-12.58,"[22.59, 16.36, 16.7]","[7, 3, 4]",0.95,19.0,strong
STLTECH.NS,Sterlite Technologies Limited,Telecommunication,Stage 2,239.89,528.51,1720628275.66,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,66.9,71.9,206.09,203.12,"[24.69, 25.07, 25.45]","[2, 7, 5]",0.95,23.0,strong
CERA.NS,Cera Sanitaryware Limited,Consumer Durables,Stage 2,35.01,25.23,179309240.7,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,71.82,71.82,6225.88,-0.29,"[24.22, 16.61]","[12, 5]",0.9,19.0,strong
CARBORUNIV.NS,Carborundum Universal Limited,Capital Goods,Stage 2,39.95,30.47,195666978.36,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_forming,65.94,70.94,1168.44,-8.81,"[19.67, 19.77, 14.98]","[9, 10, 5]",0.95,27.0,strong
