company_name,industry,symbol,Series,sector,ticker,f&o
360 ONE WAM LIMITED,Financial Services,360ONE,EQ,Financial Services,360ONE.NS,F&O
3M India Limited,Diversified,3MINDIA,EQ,Diversified,3MINDIA.NS,#N/A
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,Financial Services,AADHARHFC.NS,#N/A
Aarti Drugs Limited,Healthcare,AARTIDRUGS,EQ,Healthcare,AARTIDRUGS.NS,#N/A
Aarti Industries Limited,Chemicals,AARTIIND,EQ,Chemicals,AARTIIND.NS,#N/A
Aarti Pharmalabs Limited,Healthcare,AARTIPHARM,EQ,Healthcare,AARTIPHARM.NS,#N/A
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,Financial Services,AAVAS.NS,#N/A
ABB India Limited,Capital Goods,ABB,EQ,Capital Goods,ABB.NS,F&O
Abbott India Limited,Healthcare,ABBOTINDIA,EQ,Healthcare,ABBOTINDIA.NS,#N/A
Aditya Birla Capital Limited,Financial Services,ABCAPITAL,EQ,Financial Services,ABCAPITAL.NS,F&O
Aditya Birla Fashion and Retail Limited,Consumer Services,ABFRL,EQ,Consumer Services,ABFRL.NS,#N/A
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,Consumer Services,ABLBL.NS,#N/A
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,Forest Materials,ABREL.NS,#N/A
Aditya Birla Sun Life AMC Limited,Financial Services,ABSLAMC,EQ,Financial Services,ABSLAMC.NS,#N/A
ACC Limited,Construction Materials,ACC,EQ,Construction Materials,ACC.NS,#N/A
Action Construction Equipment Limited,Capital Goods,ACE,EQ,Capital Goods,ACE.NS,#N/A
Archean Chemical Industries Limited,Chemicals,ACI,EQ,Chemicals,ACI.NS,#N/A
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,Power,ACMESOLAR.NS,#N/A
Adani Energy Solutions Limited,Power,ADANIENSOL,EQ,Power,ADANIENSOL.NS,F&O
Adani Enterprises Limited,Metals & Mining,ADANIENT,EQ,Metals & Mining,ADANIENT.NS,F&O
Adani Green Energy Limited,Power,ADANIGREEN,EQ,Power,ADANIGREEN.NS,F&O
Adani Ports and Special Economic Zone Limited,Services,ADANIPORTS,EQ,Services,ADANIPORTS.NS,F&O
Adani Power Limited,Power,ADANIPOWER,EQ,Power,ADANIPOWER.NS,F&O
Advanced Enzyme Technologies Limited,Healthcare,ADVENZYMES,EQ,Healthcare,ADVENZYMES.NS,#N/A
Aegis Logistics Ltd.,"Oil, Gas & Consumable Fuels",AEGISLOG,EQ,"Oil, Gas & Consumable Fuels",AEGISLOG.NS,#N/A
Aegis Vopak Terminals Ltd.,"Oil, Gas & Consumable Fuels",AEGISVOPAK,EQ,"Oil, Gas & Consumable Fuels",AEGISVOPAK.NS,#N/A
Aether Industries Limited,Chemicals,AETHER,EQ,Chemicals,AETHER.NS,#N/A
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,Construction,AFCONS.NS,#N/A
Affle (India) Limited,Information Technology,AFFLE,EQ,Information Technology,AFFLE.NS,#N/A
Dr. Agarwal's Health Care Ltd.,Healthcare,AGARWALEYE,EQ,Healthcare,AGARWALEYE.NS,#N/A
AGI Greenpac Limited,Capital Goods,AGI,EQ,Capital Goods,AGI.NS,#N/A
